source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM
14,TMS14F1310P0015,65,UYMO1901CS,12073,6834,1.3,0,5387,5417
14,TMS14F1311P0002,66,UYMO1901CS,7636,3917,0.9,5,4398,6427
14,TMS14F1312P0003,67,UYMO1901CS,11413,8507,1.3,4,5227,7344
15,IITA-TMS-IBA000070,1,UYON1801CS,26810,8069,2.8,5,8201,4306
15,IITA-TMS-IBA30572,2,UYON1801CS,15166,3642,1.2,3,4889,2743
15,IITA-TMS-IBA980581,3,UYON1801CS,19301,6387,1.5,4,6361,3715
15,IITA-TMS-IBA982101,4,UYON1801CS,20174,7930,1.2,3,8930,5573
15,TMEB419,5,UYON1801CS,25393,6076,2.2,3,7674,3993
15,TMS13F1021P0008,6,UYON1801CS,14789,3896,1.4,4,6853,3750
15,TMS13F1049P0001,7,UYON1801CS,14870,7059,1.1,1,6640,4028
15,TMS13F1114P0001,8,UYON1801CS,17193,4295,1.4,4,6513,3125
15,TMS13F1126P0003,9,UYON1801CS,15166,7184,1.2,3,4889,3403
15,TMS13F1182P0002,10,UYON1801CS,16999,4904,1.6,5,8035,4688
15,TMS13F1304P0003,11,UYON1801CS,19423,5946,1.6,2,5873,4375
15,TMS13F1315P0008,12,UYON1801CS,15166,6235,1.2,2,4889,4514
15,TMS13F1376P0018,13,UYON1801CS,44067,10772,2.9,NA,15338,4653
15,TMS13F1400P0001,14,UYON1801CS,17193,7081,1.4,4,6513,6458
15,TMS13F1461P0002,15,UYON1801CS,17193,6315,1.4,5,6513,4236
15,TMS13F2061P0005,16,UYON1801CS,17193,6024,1.4,3,6513,4340
15,TMS13F2207P0001,17,UYON1801CS,26810,6576,2.8,5,8201,4444
15,TMS14F1001P0004,18,UYON1801CS,19423,4154,1.6,3,5873,2847
15,TMS14F1013P0007,19,UYON1801CS,15166,4578,1.2,3,4889,5417
15,TMS14F1014P0016,20,UYON1801CS,17193,4530,1.4,2,6513,3785
15,TMS14F1014P0017,21,UYON1801CS,17193,6759,1.4,2,6513,4306
15,TMS14F1016P0006,22,UYON1801CS,19423,6929,1.6,13,5873,3819
15,TMS14F1019P0015,23,UYON1801CS,15166,6160,1.2,3,4889,3715
